donor21_Normal_sample21_14	donor21_Normal_sample21_6	donor21_MDS_sample21_16	donor21_MDS_sample21_29	donor21_MDS_sample21_31	donor22_Normal_sample22_22	donor22_Normal_sample22_27	donor22_Normal_sample22_45	donor22_MDS_sample22_44b	donor23_Normal_sample23_13	donor23_Normal_sample23_28	donor23_Normal_sample23_5	donor23_MDS_sample23_24	donor23_MDS_sample23_38	donor23_MDS_sample23_6
2.98750430.98751372	192	115	62	55	46	127	204	124	18	110	128	141	55	37	61
2.98868428.98869327	90	62	28	21	23	33	79	55	5	55	77	49	31	15	34
2.100387855.100388998	181	179	47	66	64	86	194	130	26	147	193	110	54	21	80
2.100756992.100757487	79	61	16	23	15	28	50	30	4	50	47	45	13	9	20
2.100907461.100908829	90	67	238	99	102	61	47	91	72	111	73	102	82	121	113
2.101790167.101790919	140	134	27	32	23	42	90	87	4	73	113	106	27	18	14
2.101796229.101797135	128	129	30	53	45	42	97	80	4	76	129	53	29	23	37
2.102308462.102309122	78	54	32	20	18	43	75	51	10	40	55	58	26	11	18
2.102537837.102538626	85	64	34	25	35	50	85	55	6	89	70	80	17	18	39
2.102657895.102658175	43	35	14	23	15	14	30	30	3	36	40	29	8	9	16
2.102690706.102691148	77	61	29	12	14	44	55	54	9	63	47	36	25	12	28
2.105592889.105593560	110	65	39	29	41	50	110	53	11	114	125	77	20	25	48
2.105715852.105716853	52	46	22	17	19	28	50	29	5	68	69	43	13	8	22
2.105745892.105746771	129	77	33	38	44	71	90	67	12	134	116	97	34	21	49
2.107153258.107154151	102	124	41	31	31	83	115	73	9	122	142	85	34	20	41
2.108696271.108696831	46	31	15	9	11	29	53	37	2	31	47	22	15	11	26
2.108883484.108884207	75	67	22	34	31	31	88	50	7	97	117	77	20	25	28
2.109228487.109229386	172	90	47	41	45	72	94	57	12	95	125	120	36	27	45
2.114018522.114019192	69	57	20	23	11	24	59	40	3	34	48	40	20	9	24
2.114134140.114134924	67	60	10	19	22	35	60	35	11	70	72	53	27	10	24
2.114429680.114430576	68	60	26	22	29	43	88	66	8	65	85	58	21	18	26
2.117815880.117816378	47	45	25	3	16	20	38	24	2	52	64	30	13	7	21
2.118813449.118814251	185	119	54	57	66	88	159	95	7	164	166	93	42	22	46
2.118879943.118880941	63	61	18	15	21	23	55	54	6	93	95	50	25	15	29
2.118882023.118882340	54	56	13	23	18	20	63	45	9	66	61	36	10	12	23
2.119697729.119698541	73	78	24	21	21	43	122	70	5	71	94	42	12	13	29
2.119711815.119712608	99	97	23	25	32	20	44	29	7	62	97	35	12	16	20
2.119989486.119990203	46	55	25	25	7	37	26	35	3	45	50	47	25	10	14
2.121002943.121003651	19	30	129	53	27	8	34	33	24	65	29	22	35	70	58
2.121776018.121776950	64	48	280	189	81	22	48	114	40	88	45	44	67	85	78
2.121831408.121833214	191	128	638	289	218	102	207	119	133	204	216	318	209	290	370
2.122756387.122757657	43	32	94	114	45	20	79	45	34	87	63	60	54	60	133
2.123495025.123495680	79	64	36	30	23	63	63	77	3	98	96	60	30	15	27
2.127402353.127403168	54	54	23	38	31	28	62	51	7	105	124	50	11	16	42
2.127621133.127621648	31	12	5	7	3	29	34	25	5	43	59	42	19	10	16
2.127885939.127886485	130	99	47	33	50	68	123	70	17	118	116	68	25	29	47
2.127892000.127893484	168	135	45	57	36	72	141	54	16	95	131	80	37	23	47
2.127916238.127916915	78	53	15	16	13	26	60	39	3	35	59	46	15	8	18
2.127937199.127937828	65	56	18	29	17	45	60	44	4	50	61	43	20	15	18
2.128300422.128300957	45	35	77	50	37	19	49	30	31	30	35	27	19	53	64
2.128507045.128507513	56	40	25	26	18	11	38	21	2	25	42	44	11	5	15
2.128935997.128937022	60	33	234	82	45	30	65	64	35	92	59	47	49	75	103
2.129270855.129272176	211	175	60	76	69	110	222	116	17	149	168	142	61	36	72
2.129411899.129412546	87	70	37	33	36	52	112	87	8	96	109	73	25	21	51
2.129467924.129468628	58	43	29	20	15	23	67	45	6	52	52	42	14	16	20
2.129471523.129472643	115	104	49	45	40	68	163	65	20	108	128	79	33	24	34
2.129818704.129819067	24	21	81	39	15	14	23	28	11	41	19	27	47	32	58
2.129961009.129961240	36	31	9	10	9	22	18	20	1	40	29	19	2	4	7
2.130240984.130241458	90	66	13	20	41	42	99	30	4	86	111	48	23	16	27
2.130569435.130570289	133	148	58	46	52	96	184	95	18	150	149	115	50	27	50
2.133141523.133142656	154	103	40	51	41	71	149	95	16	186	183	87	36	34	71
2.133335163.133335739	80	53	21	21	17	41	85	56	6	101	109	56	14	11	30
2.134865249.134866374	80	69	33	24	32	31	71	52	4	77	80	44	22	15	16
2.134911778.134913348	172	114	71	49	61	77	147	85	12	137	123	88	40	27	48
2.135052111.135052765	57	59	23	19	19	26	94	65	9	88	92	57	21	13	42
2.135496994.135497965	361	242	112	97	90	209	269	143	34	220	256	259	72	60	95
2.135516110.135516856	81	62	15	24	20	33	54	54	5	63	61	40	16	16	26
2.136648444.136648814	47	40	13	13	19	20	49	24	8	43	53	21	8	5	18
2.136893148.136894285	74	66	16	28	18	24	62	44	14	53	54	32	14	5	22
2.137139561.137140207	74	66	29	39	19	50	74	73	9	84	78	52	28	16	25
2.138785780.138786656	186	135	51	71	66	64	167	150	21	233	228	108	38	42	68
2.139232687.139233368	81	48	24	17	17	29	54	39	9	60	78	48	16	21	26
2.142292024.142293010	93	68	30	37	32	32	104	48	11	135	121	57	22	12	43
2.143623122.143624513	83	76	30	28	34	39	73	56	11	102	131	66	15	10	32
2.143787671.143788102	46	52	12	14	13	15	37	33	5	57	70	25	10	7	16
2.143907619.143908304	60	46	17	17	13	27	55	51	13	74	78	47	25	11	16
2.143975156.143975628	59	46	22	25	12	34	49	46	8	66	73	32	14	9	20
2.144901179.144901753	60	48	28	18	17	25	36	42	7	61	47	27	14	8	12
2.144995326.144996211	92	120	55	37	26	42	103	102	10	109	127	88	41	22	42
2.145429120.145429861	86	93	21	18	21	45	66	76	10	63	88	46	25	17	19
2.145444252.145445027	92	67	31	28	27	29	80	48	7	67	78	38	12	13	24
2.146500584.146500882	29	23	10	4	10	10	21	28	2	28	26	10	7	5	6
2.148446891.148447703	123	86	43	33	41	63	95	73	17	109	139	69	35	15	38
2.149805362.149805892	47	39	20	7	13	24	26	30	4	61	66	33	9	7	15
2.150008923.150009863	91	80	35	33	31	40	116	75	8	97	131	54	24	22	36
2.151537799.151538492	53	76	40	32	18	24	41	67	7	99	80	66	25	19	29
2.152627775.152628425	85	77	30	22	16	29	28	43	7	58	76	39	22	8	22
2.152774656.152775383	102	84	24	16	18	47	103	64	8	89	91	52	22	9	26
2.152887441.152888256	103	78	52	45	32	69	50	62	6	58	69	43	24	8	24
2.152902964.152904973	191	122	53	57	44	139	170	87	25	173	126	108	47	36	63
2.152945289.152946666	125	72	25	27	27	58	118	64	12	88	110	71	34	23	41
2.153325393.153326093	79	102	32	25	33	37	98	90	7	72	94	55	25	20	23
2.153429712.153430068	64	53	25	15	11	39	21	41	3	50	34	46	25	13	23
2.158276952.158278308	125	99	59	52	38	48	92	120	12	154	217	103	53	24	75
2.158298065.158298889	130	98	24	43	28	43	98	89	12	118	130	66	26	17	41
2.158300030.158301105	93	99	33	33	31	54	92	68	16	115	129	68	21	17	49
2.158309688.158310657	211	153	71	57	61	102	218	175	13	217	247	145	42	26	76
2.158325104.158326501	156	136	87	48	66	95	129	143	13	208	210	158	43	33	71
2.159991617.159992818	34	18	304	106	28	13	50	59	58	81	55	50	78	100	142
2.160658366.160659103	69	50	25	26	26	46	72	61	6	67	63	46	22	14	20
2.160790079.160790862	63	42	20	18	21	37	83	52	6	77	98	62	19	22	24
2.161507337.161507480	32	29	12	12	16	11	36	22	1	39	47	27	8	6	15
2.161522704.161523372	27	13	204	104	17	40	35	28	15	102	35	46	51	65	98
2.161560310.161561117	114	86	42	28	39	63	149	89	11	138	153	92	36	25	42
2.162817546.162818002	40	36	11	6	10	24	38	21	4	39	63	37	6	8	16
2.162870071.162870844	82	64	18	18	35	23	65	58	4	91	99	47	11	11	23
2.165766764.165767394	32	27	147	67	59	14	37	52	55	74	65	24	42	87	108
2.165821203.165821601	50	25	16	18	16	24	60	39	6	78	84	39	29	10	19
2.165911553.165912256	4	13	112	38	12	5	20	29	14	42	22	13	29	37	64
2.166518048.166518696	38	18	5	14	13	14	40	36	4	49	61	36	13	7	20
2.166754064.166755073	59	56	35	27	39	36	97	46	4	128	118	59	20	6	33
2.169407013.169407754	152	103	61	50	48	66	163	101	17	150	176	107	39	24	60
2.169408977.169409273	35	32	15	11	18	19	34	32	2	31	28	25	8	6	8
2.169495665.169496394	21	28	178	52	41	10	15	44	37	65	36	19	32	57	84
2.169936623.169937408	77	74	39	33	28	38	77	56	9	63	77	63	17	14	24
2.170870397.170870770	15	11	60	42	20	9	42	37	18	46	38	33	33	40	64
2.172878142.172878658	69	39	22	29	19	28	34	28	3	45	61	58	10	18	26
2.173145463.173146292	110	103	39	41	39	69	142	97	6	109	103	66	33	20	50
2.174861852.174862566	81	90	37	35	35	50	97	67	9	75	78	63	24	17	36
2.176417556.176418292	93	50	15	12	22	34	87	53	10	90	115	80	28	21	52
2.178008187.178008499	12	10	79	61	5	8	21	20	4	62	24	18	27	26	63
2.179055575.179056292	90	61	44	24	21	21	53	51	10	102	110	70	26	10	38
2.179094508.179095166	88	76	14	29	22	30	111	49	6	115	147	46	18	13	30
2.179394981.179396157	97	83	36	33	41	37	85	75	7	107	140	69	28	15	32
2.182168734.182169287	58	42	19	25	14	34	59	32	8	69	53	53	9	19	31
2.182258214.182258654	70	48	35	30	23	29	51	53	5	79	58	45	11	18	25
2.182271742.182272507	74	77	33	21	18	49	63	45	6	68	88	50	28	12	21
2.182295256.182295796	73	52	16	18	26	33	76	55	7	77	72	47	22	11	35
2.182802263.182802673	61	71	20	23	27	34	65	80	8	94	110	52	27	15	37
2.182856061.182856643	79	48	21	15	27	39	55	38	5	80	92	47	15	17	27
2.183578065.183579179	80	61	26	33	23	40	82	93	8	100	101	61	23	12	35
2.185427157.185427619	51	50	20	13	11	18	45	37	7	38	66	25	21	7	13
2.187778564.187779184	118	66	30	45	35	41	79	68	8	122	120	87	26	20	58
2.188988397.188988787	17	10	51	47	18	5	8	10	6	26	11	13	8	14	32
2.190378481.190379413	104	58	19	29	28	41	91	62	13	125	135	59	33	17	27
2.191470620.191471371	76	57	19	14	20	21	50	43	9	41	64	49	19	16	30
2.191625073.191626245	39	22	93	82	48	14	19	14	6	19	18	34	34	39	60
2.191844415.191845462	30	23	220	197	60	27	73	53	47	128	64	64	61	95	144
2.192087309.192087953	34	37	16	17	22	25	50	30	3	51	68	36	4	6	13
2.192301084.192302072	136	99	42	60	63	64	156	117	17	166	171	106	33	29	51
2.192476263.192476940	118	104	24	28	30	43	112	83	6	113	135	60	29	19	32
2.192531044.192531993	142	147	61	53	43	53	105	114	15	116	158	106	52	34	55
2.194772197.194772622	49	44	16	10	18	27	59	22	2	50	46	36	6	6	13
2.194969142.194969911	99	80	30	28	45	41	85	42	3	119	134	57	14	16	35
2.196398657.196399519	86	67	49	24	17	59	64	74	13	77	116	74	36	24	25
2.197106100.197107567	272	201	117	97	89	214	267	230	26	244	196	231	74	48	84
2.197132851.197134188	112	73	51	31	38	57	77	83	12	129	119	91	31	19	38
2.197951195.197951556	61	36	12	15	15	29	42	37	4	35	52	28	13	5	9
2.198009994.198011025	143	91	50	46	57	93	113	105	17	138	137	98	44	31	34
2.198063343.198063999	89	59	23	33	20	36	90	59	6	66	90	33	18	15	23
2.198080755.198081757	64	73	31	19	38	43	75	55	5	81	95	67	22	20	26
2.198123287.198124014	66	44	18	25	16	13	53	50	5	28	48	44	13	6	12
2.198753798.198754200	110	96	41	32	30	65	102	86	12	147	162	98	33	27	38
2.198971105.198972071	135	115	46	48	58	77	161	136	15	180	175	110	29	23	53
2.201270334.201271417	49	36	229	116	22	48	53	49	29	127	75	63	105	78	134
2.201997278.201997824	43	36	17	14	11	31	35	25	6	30	35	38	9	11	19
2.202986215.202987201	177	141	62	60	48	74	148	138	13	144	152	133	47	43	73
2.204462770.204463423	59	43	21	19	15	14	57	25	5	34	41	47	11	10	24
2.204521262.204522009	127	123	45	35	45	64	105	89	10	96	113	91	31	22	39
2.204524100.204524725	50	55	10	15	17	29	63	43	8	52	74	41	16	15	25
2.205121570.205122302	67	62	23	22	19	34	51	40	8	67	69	61	29	12	21
2.207233674.207234485	50	46	17	12	19	25	43	28	1	54	68	42	14	9	32
2.208526757.208527427	107	71	28	29	19	40	54	55	5	73	80	81	25	18	35
2.208848338.208848803	65	65	14	21	13	14	43	56	4	53	63	30	11	9	16
2.209986220.209987177	87	55	24	29	30	59	80	58	3	105	86	71	23	12	33
2.210010776.210011949	89	108	45	27	29	55	116	97	9	172	161	62	26	7	44
2.210484380.210484999	96	60	41	31	24	45	96	60	12	133	145	63	23	24	39
2.210850645.210851199	57	43	16	12	11	26	49	53	8	70	75	47	13	11	26
2.213680047.213680623	31	11	17	6	11	34	36	21	3	46	45	37	12	7	14
2.213769149.213769740	121	86	40	20	42	74	71	96	6	120	117	82	28	28	29
2.214934048.214934470	16	9	101	27	11	17	15	27	13	45	29	24	25	46	59
2.215415296.215415989	31	28	7	19	10	12	34	24	3	52	61	37	18	9	22
2.216922230.216923127	135	113	43	41	43	76	142	127	11	131	132	104	34	29	73
2.217738186.217738779	73	50	18	17	23	49	110	40	5	65	71	50	23	15	28
2.218087022.218087702	64	37	22	16	19	28	45	42	5	37	45	49	13	11	15
2.218680866.218681783	92	58	458	252	59	53	133	89	62	158	99	57	73	134	174
2.219123268.219124789	163	193	793	316	139	127	197	180	132	232	179	161	194	196	347
2.219597773.219599132	211	143	87	83	52	95	244	167	15	123	135	148	36	33	35
2.219725645.219726247	49	45	118	58	28	36	58	66	40	58	38	23	46	75	57
2.220468273.220469084	117	91	27	32	33	58	114	93	7	89	93	63	28	20	39
2.223532626.223533419	74	74	23	28	22	35	68	67	4	65	103	57	17	10	32
2.223595210.223595813	81	81	12	23	28	33	78	37	7	78	84	37	11	14	19
2.223656650.223657365	94	108	39	45	27	34	105	68	12	103	140	58	21	20	36
2.223670227.223671015	71	119	30	42	28	25	85	69	8	103	105	63	18	13	40
2.223776561.223777478	76	78	38	36	28	35	121	63	8	125	126	65	27	18	31
2.224330381.224331004	45	57	19	15	15	23	51	53	7	57	72	34	22	10	19
2.224700458.224701496	132	73	50	23	53	107	139	78	13	143	161	110	28	27	54
2.225270052.225270946	62	55	17	23	16	34	74	52	9	74	70	75	29	17	34
2.225786760.225787633	100	83	31	34	35	44	113	73	8	105	144	69	31	18	43
2.225791554.225792124	51	57	28	23	13	17	46	27	5	43	79	36	16	5	24
2.225802615.225802926	22	17	7	14	7	15	23	24	0	32	29	31	9	7	13
2.225817766.225818628	167	110	52	50	59	88	150	112	17	154	195	96	46	33	60
2.225823529.225823948	25	19	6	7	3	16	19	19	3	29	41	24	12	2	16
2.225890734.225891498	124	97	43	33	37	58	168	92	14	117	165	102	30	29	47
2.225977319.225977746	65	50	7	10	24	31	53	38	7	78	120	35	16	11	21
2.227288020.227288769	119	77	30	34	39	61	89	71	16	108	99	70	16	15	38
2.228270933.228271404	25	18	125	59	23	6	28	36	16	53	31	24	45	50	60
2.228330919.228331668	31	33	183	69	46	16	40	40	37	63	55	62	64	68	97
2.228647830.228648742	64	61	16	30	23	35	63	49	2	80	93	54	19	5	22
2.230195301.230196228	139	128	51	46	52	87	167	108	14	168	183	88	30	23	42
2.230280577.230281749	210	218	113	86	88	125	265	195	17	285	295	155	65	36	74
2.230989619.230990440	142	80	51	41	42	84	119	118	11	126	148	109	49	25	47
2.231090893.231091341	53	31	6	15	9	20	48	23	3	33	32	28	8	9	13
2.231662245.231663123	118	93	57	35	33	71	62	79	8	89	120	121	37	32	61
2.231812565.231813098	92	88	31	37	28	111	112	70	10	67	79	52	30	18	42
2.235217050.235217964	121	111	42	42	47	86	90	71	17	160	98	104	38	21	46
2.235889061.235890468	71	51	328	169	68	32	101	78	71	149	83	95	85	155	177
2.238199770.238200367	61	48	346	167	43	22	58	69	40	119	68	40	54	93	140
2.238661136.238661735	89	57	22	19	9	25	37	23	7	43	54	58	18	11	17
3.577221.578298	20	25	235	227	138	48	37	7	97	50	95	4	120	133	336
3.2139939.2141399	38	41	209	193	124	94	65	19	86	249	82	5	91	192	220
3.3351700.3352076	33	41	12	18	9	24	34	21	4	58	65	28	9	13	19
3.4515813.4517254	335	221	117	114	128	207	350	273	35	330	372	253	116	66	115
3.5180891.5182207	85	101	30	38	27	63	107	77	6	107	90	109	29	12	29
3.5241071.5241479	46	33	17	20	11	22	29	24	4	46	54	32	9	10	15
3.5246794.5247601	95	46	20	24	10	31	23	23	4	65	77	69	21	10	21
3.5464877.5465612	42	72	26	26	15	41	68	67	6	93	93	58	20	16	37
3.5473283.5474111	42	49	25	12	13	94	52	62	13	89	94	110	32	17	57
3.5698653.5699365	69	68	45	37	37	35	83	85	11	123	162	74	27	17	46
3.6016159.6016918	67	79	27	31	48	32	69	44	7	117	139	65	28	12	39
3.6324637.6325407	57	57	23	20	30	26	73	48	9	100	124	42	16	20	27
3.7724510.7724834	30	29	16	16	19	24	46	37	4	54	57	30	13	5	19
3.8485697.8486706	72	41	407	164	83	19	102	88	56	162	85	66	100	136	180
3.8906096.8906917	97	84	35	39	24	42	80	44	13	57	97	54	19	18	30
3.9221341.9222818	170	160	62	62	52	74	189	115	21	145	199	111	41	29	60
3.12398481.12398844	55	50	22	18	11	58	30	38	4	36	34	43	18	15	15
3.12544900.12545655	83	72	31	32	18	53	93	48	8	56	88	63	21	18	32
3.13587797.13588846	58	61	268	88	35	36	57	66	46	83	45	55	58	88	116
3.16413709.16414973	110	67	23	24	17	42	60	28	5	97	109	111	33	28	22
3.16842724.16843395	57	57	19	20	28	42	89	41	9	75	72	38	18	8	32
3.17151876.17152762	77	59	11	15	22	15	37	41	2	61	68	51	16	9	19
3.17788531.17789697	75	75	23	25	21	31	62	54	10	84	95	69	32	26	36
3.18087949.18088299	40	45	14	11	14	16	55	34	2	44	57	43	17	12	22
3.18265006.18266288	105	85	35	40	39	69	170	70	13	153	128	76	25	36	48
3.18786743.18787383	109	84	53	39	31	44	101	79	11	44	61	32	12	9	16
3.19930602.19931245	20	17	223	84	16	10	26	46	14	98	38	12	35	52	132
3.19972368.19973661	157	159	55	46	46	83	151	119	21	166	199	127	42	38	62
3.20167167.20167879	82	45	12	26	23	43	60	43	7	86	85	58	11	4	20
3.20366293.20367166	47	34	13	20	15	27	50	48	7	61	87	40	17	11	37
3.23109580.23109850	30	27	6	15	15	16	24	18	7	48	36	18	5	9	7
3.23112533.23114259	321	226	79	73	85	169	301	185	23	314	334	210	85	54	90
3.23154057.23154389	33	58	18	17	18	23	52	41	4	59	62	32	11	12	20
3.23765405.23765945	44	42	13	11	17	23	57	27	6	56	51	31	18	10	16
3.23790017.23790669	87	65	28	33	17	40	79	77	12	71	85	60	28	21	30
3.23877844.23878584	75	60	31	27	25	25	76	43	4	64	107	68	18	11	28
3.24525204.24525595	47	29	14	12	15	21	44	22	3	59	67	36	11	14	16
3.27212360.27213177	85	80	29	43	46	64	109	89	11	168	156	72	33	33	46
3.27550695.27551486	79	65	19	22	28	40	87	51	5	84	83	55	17	20	25
3.28241643.28242473	74	15	116	71	58	28	57	14	15	38	16	14	14	54	26
3.29376939.29377468	15	23	122	47	27	12	30	34	22	82	44	27	31	71	70
3.29691117.29692056	102	76	29	27	30	46	95	38	6	92	109	75	27	27	41
3.30645702.30646601	61	65	31	25	15	38	70	64	4	75	98	42	19	14	29
3.30687864.30688548	57	61	34	28	23	32	58	72	13	66	99	64	16	18	24
3.31268497.31269005	87	43	19	25	23	45	38	72	7	58	36	42	18	15	13
3.31273416.31274733	194	165	82	81	78	100	177	140	24	206	205	137	48	38	66
3.31275484.31276238	111	98	42	44	32	49	124	80	9	108	99	79	28	18	44
3.31844402.31844889	25	23	5	6	5	44	63	38	7	16	22	18	8	4	6
3.32616659.32617586	85	65	26	25	30	51	64	42	9	57	66	54	21	16	29
3.34403321.34404104	118	105	23	29	25	51	82	33	7	105	153	81	29	20	32
3.36828548.36829457	169	176	59	75	59	79	175	115	23	233	243	107	38	26	75
3.37597999.37598988	106	101	47	51	35	64	114	87	13	120	114	107	29	27	55
3.37747458.37747693	41	29	9	15	10	29	34	16	9	44	35	30	10	7	10
3.38027941.38028747	45	44	58	49	36	29	46	44	41	22	40	55	76	59	87
3.39091267.39092127	95	71	29	29	34	64	97	47	8	102	108	83	28	25	46
3.39296723.39297772	271	237	105	87	84	131	244	176	25	197	222	184	62	44	99
3.39313366.39314184	67	57	12	15	15	32	36	63	6	48	60	29	29	6	20
3.39891401.39891815	63	54	14	13	21	16	33	19	8	54	59	36	10	8	25
3.40270641.40271959	212	127	81	61	73	106	207	128	15	151	180	111	34	37	64
3.42416675.42417462	52	71	21	13	13	19	70	50	5	71	73	60	10	10	32
3.42893591.42894530	59	47	94	88	72	22	93	72	48	44	67	60	61	51	131
3.43435253.43436266	36	21	253	223	43	24	96	46	26	123	79	88	58	77	218
3.45609088.45609876	77	68	23	21	20	22	60	31	3	42	64	53	23	9	25
3.46130455.46131958	525	466	232	193	173	353	531	337	37	344	401	449	171	100	176
3.46141963.46143035	157	155	61	61	50	99	141	131	17	129	111	82	43	28	33
3.46976328.46978052	180	134	319	253	146	98	146	153	115	133	162	187	226	191	285
3.50540961.50541378	51	32	116	82	40	14	56	29	37	64	52	28	39	53	74
3.53213665.53215714	379	277	102	120	72	177	393	150	30	185	227	210	73	48	59
3.53782308.53783648	201	144	52	67	50	75	157	94	13	106	129	108	57	28	47
3.54296667.54297100	48	35	11	15	19	21	54	27	5	35	34	25	10	1	19
3.55001458.55002190	76	48	25	23	20	32	56	54	1	59	62	34	15	10	23
3.57093540.57093790	43	35	7	5	8	14	22	11	1	6	10	14	2	8	11
3.58044356.58045801	41	30	370	82	68	9	49	74	45	78	49	36	55	113	125
3.58182061.58182822	84	43	22	34	20	30	53	30	6	41	57	45	15	13	15
3.58200712.58201209	89	66	23	35	36	40	72	44	7	49	75	62	25	13	23
3.58218332.58218689	56	51	13	23	9	44	44	32	7	39	76	33	22	8	13
3.58372402.58373767	97	56	267	135	121	39	103	91	91	137	101	115	128	147	209
3.60977887.60978469	120	77	19	39	34	47	103	75	5	80	108	55	30	13	34
3.60994490.60995091	52	45	15	14	13	15	59	59	8	67	65	41	21	20	23
3.63329103.63329732	16	16	165	77	23	13	33	36	20	67	44	11	38	51	102
3.63907639.63908546	98	81	32	35	31	56	86	81	12	71	100	58	22	16	39
3.64490874.64491616	46	72	26	20	17	25	50	51	11	53	81	51	17	16	27
3.64673203.64674295	72	56	245	182	68	37	88	77	48	132	123	51	71	121	113
3.64958419.64959101	80	44	14	8	12	43	61	41	7	80	63	67	17	15	31
3.66694862.66695323	51	50	18	31	18	27	61	42	2	58	76	46	19	11	26
3.67098830.67099396	42	35	18	9	13	15	23	20	2	35	41	24	9	3	11
3.67340623.67341525	126	105	31	46	39	64	122	66	10	153	164	84	28	21	35
3.67998471.67998853	16	9	77	48	35	10	18	16	28	55	25	7	21	44	46
3.69388909.69389421	103	68	24	33	25	49	84	48	12	77	88	60	29	22	36
3.69508102.69508390	28	15	6	8	6	9	27	18	0	33	27	24	10	4	7
3.71854311.71854780	40	42	15	22	11	25	44	50	3	58	48	28	13	10	17
3.72385809.72386600	74	67	178	134	65	32	76	59	45	72	66	43	72	77	84
3.72587296.72587839	78	65	21	19	28	45	48	45	5	54	62	53	18	15	17
3.72608603.72608979	52	36	9	12	16	17	36	37	3	31	35	32	5	8	19
3.72667929.72668630	37	48	19	14	12	25	30	25	4	41	49	41	12	9	14
3.72686072.72686983	116	129	33	46	21	57	135	79	17	94	97	74	34	19	36
3.72805860.72806625	173	125	48	48	48	89	194	72	15	147	162	112	38	33	52
3.81873086.81873627	73	56	17	20	24	33	57	74	3	83	102	73	16	12	43
3.88047202.88047442	57	38	9	10	7	16	32	19	4	33	84	22	6	8	20
3.94242636.94243500	33	26	73	58	27	8	37	22	37	54	54	42	52	49	107
3.97673024.97673755	115	57	25	32	30	36	90	39	4	99	101	68	30	17	36
3.98449171.98449863	75	45	16	29	17	74	41	56	4	57	78	110	53	20	44
3.99203790.99204795	95	66	17	22	20	33	91	41	8	104	115	63	21	18	39
3.99224636.99225248	59	99	24	24	14	25	40	46	6	89	102	58	26	12	19
3.99569230.99570060	87	66	34	36	35	46	93	64	4	95	100	56	23	20	35
3.100138174.100138651	50	23	14	12	12	25	35	35	4	48	43	31	17	3	9
3.100935547.100936360	48	37	17	18	20	33	36	25	7	85	78	64	22	12	30
3.101617461.101618301	92	69	12	14	24	45	78	59	2	92	91	56	23	14	31
3.101924301.101925068	91	55	25	19	18	24	65	46	4	82	94	49	25	14	30
3.102767031.102767715	47	43	12	16	12	27	37	28	5	55	65	33	13	6	22
3.102771222.102771705	55	67	28	19	16	24	51	31	7	108	106	30	13	11	39
3.105441962.105442316	47	27	11	12	8	18	48	37	1	67	47	39	22	8	26
3.107369717.107369950	37	39	7	18	11	15	51	28	5	15	25	9	5	4	4
3.108976126.108976509	28	12	79	46	19	11	23	29	16	48	28	27	32	32	75
3.109282043.109282299	37	32	14	10	11	19	21	21	5	36	40	33	11	9	19
3.111793904.111794336	9	12	57	31	42	12	16	18	60	31	16	10	18	56	46
3.111816308.111816695	15	17	103	58	11	16	24	29	15	42	41	32	46	38	79
3.111836865.111837346	65	58	27	30	37	33	69	41	2	92	90	46	21	11	37
3.111851641.111852366	108	133	37	37	32	40	115	94	14	133	165	73	25	26	55
3.112359160.112360757	62	53	401	163	79	27	100	76	49	180	113	69	68	117	182
3.112577005.112577890	108	68	40	31	34	63	93	84	4	77	73	81	32	20	40
3.112942498.112943910	232	186	77	88	65	119	224	157	23	166	186	180	72	47	91
3.112994567.112995790	155	152	35	59	52	80	149	68	9	125	170	120	45	44	82
3.113829888.113830675	53	47	26	21	21	31	62	57	11	62	78	45	17	9	21
3.116527718.116528352	46	34	23	28	15	21	38	17	6	64	84	43	17	4	24
3.117441739.117442245	53	43	8	17	17	25	57	17	4	72	65	37	8	10	17
3.119281192.119281937	222	136	43	50	37	58	127	76	9	88	145	151	44	21	27
3.119288827.119289690	182	151	66	63	68	71	169	90	13	173	183	130	38	30	59
3.119372530.119373391	109	80	22	35	28	46	67	55	7	88	85	80	28	13	34
3.121676318.121677076	94	81	16	28	27	44	70	50	5	56	103	58	25	7	15
3.121774040.121774534	106	99	48	48	32	76	139	83	5	102	107	101	24	18	44
3.121782522.121783584	143	118	49	44	52	105	149	97	18	132	164	139	54	26	61
3.121792968.121794113	232	245	87	85	73	143	255	186	26	225	290	198	52	30	97
3.121974576.121975100	35	37	28	17	6	21	28	13	3	38	41	34	6	7	22
3.122128043.122128679	37	57	10	19	17	13	41	40	4	54	55	46	17	12	26
3.123532572.123533367	89	82	148	158	106	47	159	122	81	60	144	110	157	91	201
3.124277956.124279144	81	69	275	129	42	37	80	97	38	90	49	72	86	109	105
3.124372449.124373558	124	89	170	175	105	28	229	144	93	87	101	96	131	142	226
3.124490797.124491808	55	68	177	96	56	25	97	66	51	99	59	53	75	92	169
3.124645595.124646021	40	38	13	13	17	20	45	25	2	37	58	37	9	15	22
3.129078680.129079822	63	46	82	85	55	26	46	41	71	24	37	48	71	77	70
3.129279263.129280553	87	106	324	196	98	70	132	87	74	133	112	72	96	119	235
