donor21_Normal_sample21_14	donor21_Normal_sample21_6	donor21_MDS_sample21_16	donor21_MDS_sample21_29	donor21_MDS_sample21_31	donor22_Normal_sample22_22	donor22_Normal_sample22_27	donor22_Normal_sample22_45	donor22_MDS_sample22_44b	donor23_Normal_sample23_13	donor23_Normal_sample23_28	donor23_Normal_sample23_5	donor23_MDS_sample23_24	donor23_MDS_sample23_38	donor23_MDS_sample23_6
2.79204481.79205306	132	83	55	47	50	57	125	101	15	158	155	113	31	26	75
2.83064902.83065525	99	75	30	35	25	33	53	43	10	95	134	70	19	15	29
2.85059825.85060901	137	143	44	36	46	74	180	96	14	194	211	87	34	27	41
2.85115528.85116678	254	187	74	77	85	129	273	175	38	219	245	178	67	39	91
2.85166484.85167381	133	102	43	46	28	50	87	102	6	104	97	71	32	19	38
2.85173308.85174325	169	132	92	42	36	86	152	107	22	148	181	121	48	24	62
2.85791177.85791866	56	45	21	22	18	28	63	38	4	37	50	44	12	8	20
2.85999412.86000065	21	30	325	151	38	10	38	51	22	137	35	40	59	76	101
2.88530468.88530940	88	61	20	24	22	44	65	51	8	63	67	45	20	11	28
2.96191981.96193010	42	49	220	126	77	6	7	7	2	7	36	24	56	116	72
